S.no,PROVINCE,DISTRICT,TEHSIL,TEHSIL - CODE,UC NAME,UC_UR,UC Number,UC CODE,LATITUDE,LONGITUDE,NUMBER OF VILLAGES,VILLAGE NUMBER,VILLAGE CODE,VILLAGE NAME
1,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,ABBOTTABAD  CANTONMENT,Urban,1,131121,34.160120,73.220304,1,1,1311211,ABBOTTABAD  CANTONMENT
2,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,18,13111218,SERIAN
3,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,17,13111217,NAROTA
4,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,16,13111216,MUSLIM ABAD
5,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,15,13111215,LAMBA BAGLA
6,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,14,13111214,KUTLI BAGH
7,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,13,13111213,KOHALIAN
8,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,12,13111212,KHAKWALA
9,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,11,13111211,KEHAL
10,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,10,13111210,KATHIALA BAGH
11,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,9,1311129,KARATI BAGH
12,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,8,1311128,JUMMA BAGLA
13,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,7,1311127,JATT MAIRA
14,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,6,1311126,JAGGIAN KOHALIAN
15,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,5,1311125,DHERI KEHAL
16,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,4,1311124,DHERI
17,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,3,1311123,BOKERAY
18,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,2,1311122,BAGH
19,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,1,1311121,BAGAR MAL
20,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,12,13111312,TRAIDA
21,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,11,13111311,SAIRI
22,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,10,13111310,RAJPUT CHAMB
23,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,9,1311139,PALAKKIAN
24,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,8,1311138,MAIRA BANDI
25,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,7,1311137,MAIRA
26,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,6,1311136,GEYAH
27,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,5,1311135,GALI BAGLA
28,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,4,1311134,CHATTAR NATH THATHI
29,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,3,1311133,CHAHAN
30,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,2,1311132,BANDI
31,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,1,1311131,BAGNOTAR
32,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.251750,73.231361,11,11,13111411,TANNAN
33,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.251750,73.231361,11,10,13111410,SIAN DA KATHA
34,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.251750,73.231361,11,9,1311149,SAJIKOT
35,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.251750,73.231361,11,8,1311148,MOR KALAN
36,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.251750,73.231361,11,7,1311147,MAST MAIRA
37,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.251750,73.231361,11,6,1311146,HALMAIRA
38,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.251750,73.231361,11,5,1311145,HALL MAIRA ZARIN
39,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.251750,73.231361,11,4,1311144,GOJJARI
40,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.251750,73.231361,11,3,1311143,CHITTA MAIRA
41,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.251750,73.231361,11,2,1311142,CHABRIAN
42,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.251750,73.231361,11,1,1311141,BALDHERI
43,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,36,13111536,TARNAWAI
44,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,35,13111535,TARHERRI
45,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,34,13111534,TARHANA
46,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,33,13111533,SOYAGALI
47,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,32,13111532,SHAMSHIR NAKKA
48,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,31,13111531,SAMAISAR
49,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,30,13111530,RIAN  DA MAIRA
50,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,29,13111529,RIALA
51,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,28,13111528,RANJHEN
52,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,27,13111527,PAGA
53,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,26,13111526,NIKKA PANI
54,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,25,13111525,MURDY PATTIAN
55,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,24,13111524,MANU DI BAN
56,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,23,13111523,MANNAH
57,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,22,13111522,MANGAL
58,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,21,13111521,MANDROCH
59,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,20,13111520,MAIRA PHAGAL
60,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,19,13111519,MAIRA BATANG
61,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,18,13111518,MAIRA BAN
62,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,17,13111517,LOON PATTIAN
63,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,16,13111516,LODHINA
64,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,15,13111515,LARA GORA
65,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,14,13111514,KHORI DE NALI
66,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,13,13111513,KALU BANDI
67,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,12,13111512,KALOOR
68,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,11,13111511,KALIDHAR
69,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,10,13111510,JABBRI
70,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,9,1311159,HAZERRA
71,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,8,1311158,HARI DI BAN
72,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,7,1311157,GARLANIAN
73,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,6,1311156,DUMKATCH
74,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,5,1311155,CHATIIAN
75,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,4,1311154,BEESALA
76,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,3,1311153,BANDI DHONDAN
77,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,2,1311152,BANDA PIR KHAN
78,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.263261,73.256166,36,1,1311151,AKHORA
79,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,26,13111626,UPPER BIRAN GALI
80,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,25,13111625,TARHAT
81,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,24,13111624,SERI
82,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,23,13111623,SAHOOTAR
83,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,22,13111622,RIYALA
84,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,21,13111621,PEHLWAN
85,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,20,13111620,NANEHALI
86,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,19,13111619,MARI SHAREEF
87,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,18,13111618,MANWAALI
